source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,Extra 72-inch steel pipe bends,"72""",Steel,Open Cut,EA,5.0,5000.0,5000.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,72-inch diameter steel water line by open-cut,"72""",Steel,Open Cut,LF,7795.0,1125.0,1125.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,72-inch diameter steel water line in tunnel,"72""",Steel,Tunnel,LF,375.0,5375.0,5375.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,Remove/Dispose storm pipe 72-inch diameter,"72""",Unspecified,Open Cut,LF,35.0,30.0,30.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Extra 72-inch diameter cylinder pipe angle adapters,"72""",Unspecified,Open Cut,EA,2.0,14630.0,14630.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,Extra 72-inch Water cylinder pipe angle adapters,"72""",Unspecified,Open Cut,EA,4.0,5000.0,5000.0,5000.0,1600.0,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,Remove/Dispose storm pipe 72-inch diameter,"72""",Unspecified,Open Cut,LF,35.0,30.0,30.0,,,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,Extra 72-inch Water cylinder pipe angle adapters,"72""",Unspecified,Open Cut,EA,4.0,5000.0,5000.0,5000.0,1600.0,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Extra 72-inch diameter cylinder pipe angle adapters,"72""",Unspecified,Open Cut,EA,2.0,14630.0,14630.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,78-inch diameter RCP storm sewer by open cut,"78""",RCP,Open Cut,LF,35.0,900.0,900.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,78-inch diameter RCP storm sewer by open cut,"78""",RCP,Open Cut,LF,35.0,900.0,900.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,Remove/Dispose storm pipe 78-inch diameter,"78""",Unspecified,Open Cut,LF,35.0,30.0,30.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,Remove/Dispose storm pipe 78-inch diameter,"78""",Unspecified,Open Cut,LF,35.0,30.0,30.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Remove/Dispose 8-inch diameter PVC water line,"8""",PVC,Open Cut,LF,255.0,20.0,20.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Remove/Dispose 8-inch diameter PVC water line,"8""",PVC,Open Cut,LF,255.0,20.0,20.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter sanitary sewer within 16-inch steel casing, by open-cut","8""",Steel,Cased Crossing,LF,50.0,320.0,320.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter sanitary sewer within 16-inch steel casing, by open-cut","8""",Steel,Cased Crossing,LF,50.0,320.0,320.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"8-inch diameter 150psi sanitary sewer, by open cut","8""",Unspecified,Open Cut,LF,1130.0,90.0,90.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,105.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,20.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,135.0,125.0,125.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,8-inch Diameter Sanitary Sewer by Open-Cut,"8""",Unspecified,Open Cut,LF,40.0,132.26,132.26,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter sanitary sewer rehabilitation,"8""",Unspecified,Open Cut,LF,907.0,85.0,85.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,1136.0,145.0,145.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter storm sewer by open cut,"8""",Unspecified,Open Cut,LF,5.0,350.0,350.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter water line by open-cut,"8""",Unspecified,Open Cut,LF,64.0,450.0,450.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,1337.0,175.0,175.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,Remove/Dispose 8-inch diameter AC water line,"8""",Unspecified,Open Cut,LF,50.0,20.0,20.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,Remove/Dispose storm pipe 8-inch dia,"8""",Unspecified,Open Cut,LF,33.0,25.0,25.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,"8-inch diameter 150 psi sanitary sewer by open-cut in
DIP casing","8""",Unspecified,Cased Crossing,LF,30.0,380.0,380.0,300.0,330.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter DIP sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,525.0,225.0,225.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,123.0,120.0,120.0,160.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,625.0,135.0,135.0,200.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,40.0,192.92,192.92,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,2235.0,240.0,240.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"8""",Unspecified,Open Cut,LF,2809.0,135.0,135.0,200.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,910.0,167.0,167.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated)","8""",Unspecified,Open Cut,LF,255.0,151.22,151.22,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","8""",Unspecified,Open Cut,LF,20.0,188.02,188.02,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,8-inch diameter water line by open cut construction w/ restrained joints,"8""",Unspecified,Open Cut,LF,114.0,150.0,150.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,109.0,140.0,140.0,120.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,2191.0,100.0,100.0,170.0,100.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,4880.0,95.0,95.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,1538.0,120.0,120.0,170.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,283.0,139.56,139.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,720.0,120.0,120.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer,"8""",Unspecified,Open Cut,LF,847.0,150.0,150.0,150.0,135.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated),"8""",Unspecified,Open Cut,LF,296.0,220.0,220.0,150.0,135.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated) in PPCA,"8""",Unspecified,Open Cut,LF,110.0,230.0,230.0,250.0,220.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer by Open-Cut within limits of PPCA,"8""",Unspecified,Open Cut,LF,204.0,155.0,155.0,250.0,220.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Remove and Plug 8-Inch Sanitary Sewer, Complete in Place","8""",Unspecified,Open Cut,EA,1.0,1500.0,1500.0,1500.0,50.0,500.0,1800.0
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Remove/Dispose 8-inch diameter AC water line,"8""",Unspecified,Open Cut,LF,158.0,20.0,20.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Remove/Dispose 8-inch diameter CI water line,"8""",Unspecified,Open Cut,LF,200.0,20.0,20.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Repair a leaking 8-inch water line along Greenbriar Dr.,"8""",Unspecified,Open Cut,LS,1.0,26556.48,26556.48,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,Remove/Dispose 8-inch diameter AC water line,"8""",Unspecified,Open Cut,LF,50.0,20.0,20.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,8-inch diameter water line by open cut construction w/ restrained joints,"8""",Unspecified,Open Cut,LF,114.0,150.0,150.0,,,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,2191.0,100.0,100.0,170.0,100.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,109.0,140.0,140.0,120.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,1538.0,120.0,120.0,170.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,625.0,135.0,135.0,200.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,123.0,120.0,120.0,160.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"8""",Unspecified,Open Cut,LF,2809.0,135.0,135.0,200.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated),"8""",Unspecified,Open Cut,LF,296.0,220.0,220.0,150.0,135.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated) in PPCA,"8""",Unspecified,Open Cut,LF,110.0,230.0,230.0,250.0,220.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer,"8""",Unspecified,Open Cut,LF,847.0,150.0,150.0,150.0,135.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer by Open-Cut within limits of PPCA,"8""",Unspecified,Open Cut,LF,204.0,155.0,155.0,250.0,220.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,"8-inch diameter 150 psi sanitary sewer by open-cut in
DIP casing","8""",Unspecified,Cased Crossing,LF,30.0,380.0,380.0,300.0,330.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,283.0,139.56,139.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,40.0,192.92,192.92,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated)","8""",Unspecified,Open Cut,LF,255.0,151.22,151.22,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","8""",Unspecified,Open Cut,LF,20.0,188.02,188.02,,,,
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Remove and Plug 8-Inch Sanitary Sewer, Complete in Place","8""",Unspecified,Open Cut,EA,1.0,1500.0,1500.0,1500.0,50.0,500.0,1800.0
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter storm sewer by open cut,"8""",Unspecified,Open Cut,LF,5.0,350.0,350.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,Remove/Dispose storm pipe 8-inch dia,"8""",Unspecified,Open Cut,LF,33.0,25.0,25.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,1337.0,175.0,175.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter water line by open-cut,"8""",Unspecified,Open Cut,LF,64.0,450.0,450.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,105.0,200.0,200.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,135.0,125.0,125.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,1136.0,145.0,145.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"8-inch diameter 150psi sanitary sewer, by open cut","8""",Unspecified,Open Cut,LF,1130.0,90.0,90.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter sanitary sewer rehabilitation,"8""",Unspecified,Open Cut,LF,907.0,85.0,85.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Remove/Dispose 8-inch diameter AC water line,"8""",Unspecified,Open Cut,LF,158.0,20.0,20.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Remove/Dispose 8-inch diameter CI water line,"8""",Unspecified,Open Cut,LF,200.0,20.0,20.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,4880.0,95.0,95.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,720.0,120.0,120.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,2235.0,240.0,240.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,910.0,167.0,167.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter DIP sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,525.0,225.0,225.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Repair a leaking 8-inch water line along Greenbriar Dr.,"8""",Unspecified,Open Cut,LS,1.0,26556.48,26556.48,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Emergency Internal Buttstrap Repair of 84-inch Water Main,"84""",Unspecified,Open Cut,LS,1.0,46558.63,46558.63,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,Internal Repair of 84-inch Water Main by Carbon Fiber,"84""",Unspecified,Open Cut,LS,1.0,431945.75,431945.75,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Internal Repair of 84-inch Water Main by Carbon Fiber,"84""",Unspecified,Open Cut,LS,1.0,431945.75,431945.75,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,Emergency Internal Buttstrap Repair of 84-inch Water Main,"84""",Unspecified,Open Cut,LS,1.0,46558.63,46558.63,,,,
